objID,z,zErr,nnCount,nnVol,photoErrorClass,nnObjID,nnSpecz,nnFarObjID,nnAvgZ,distMod,lumDist,chisq,rnorm,bestFitTemplateID,synthU,synthG,synthR,synthI,synthZ,kcorrU,kcorrG,kcorrR,kcorrI,kcorrZ,kcorrU01,kcorrG01,kcorrR01,kcorrI01,kcorrZ01,absMagU,absMagG,absMagR,absMagI,absMagZ
1237661383848494139,0.664138,0.06282,100,3.53789,-7,1237667209982574824,0.66674,1237654880734675561,0.589265,43.0172,4012.65,1.48232,0.780464,37,23.6129,23.1949,22.4979,21.7589,21.3709,-0.185,0.42,0.366,-0.093,-0.23,-0.215,0.365,0.33,0.009,-0.149,-19.2375,-21.0081,-20.7997,-21.052,-21.3703
1237661433775194867,0.306854,0.054568,98,56.67554,-7,1237667143934476922,0.518504,1237658199665738005,0.464032,41.0093,1591.71,3.89497,1.67532,3,24.5426,23.2426,21.9756,21.3806,20.8806,0.596,0.662,0.258,0.064,-0.075,0.378,0.516,0.161,0.1,-0.055,-17.0288,-16.9167,-19.0939,-19.9172,-19.3982
1237661465458378032,0.01817,0.228624,100,59.04325,-7,1237654880206193081,0.77001,1237654602092118822,0.575196,34.4709,78.3745,1.47156,1.5945,35,23.5753,22.8003,22.4333,22.2733,22.1213,0.01,-0.017,0.003,-0.029,-0.026,0.081,0.017,0.028,0.162,0.103,-12.4761,-11.5534,-12.1397,-12.1132,-12.5537
1237661465460278013,0.324785,0.029066,98,0.147437,1,1237658191612739901,0.316105,1237648704052789887,0.323085,41.1529,1700.48,1.91386,0.160838,8,22.4039,20.5259,19.0349,18.5159,18.1979,1.218,0.874,0.079,-0.119,-0.192,0.999,0.7,0.093,-0.074,-0.105,-19.8761,-21.4642,-22.2156,-22.5271,-22.6372
1237661852002812549,0.512625,0.112937,99,2.073426,5,1237657587096158748,0.560269,1237648721784078945,0.535599,42.331,2925.54,1.84677,0.631338,35,22.5902,22.3922,21.7292,21.3942,21.1802,-0.527,0.023,-0.253,-0.46,-0.519,-0.456,0.057,-0.228,-0.269,-0.39,-19.1083,-20.2273,-20.3572,-20.3981,-21.1893
1237661872417408401,0.636257,0.129063,100,383.428,-7,1237654601023684666,0.515077,1237655107288498216,0.458101,42.9028,3806.76,8.68318,1.4007,34,22.3351,22.3541,22.1401,21.7821,21.7071,-1.04,-0.483,-0.467,-0.791,-0.749,-0.888,-0.408,-0.424,-0.534,-0.601,-19.9402,-19.0421,-19.4528,-20.5119,-20.4723
1237661950793024637,-9999,-9999,-9999,6.643546,-7,1237654664369537264,0.486276,1237665373333291724,0.517778,42.3573,2961.17,64.0572,4.74585,21,24.0428,23.5258,22.4928,21.8218,21.3958,-0.015,0.653,0.3,-0.06,-0.239,-0.076,0.553,0.279,0.012,-0.154,-18.3497,-17.1354,-17.4804,-17.5162,-21.7426
1237667228764144398,0.697394,0.066362,98,2.935867,-7,1237669769764733356,0.6677,1237661387605803516,0.631217,43.1478,4261.44,4.59329,1.80283,35,22.4639,22.3099,21.9679,21.3819,21.1569,-0.734,-0.14,-0.095,-0.553,-0.623,-0.663,-0.106,-0.07,-0.362,-0.494,-21.6204,-20.2224,-20.9049,-21.2314,-21.816
1237667229301539024,0.243795,0.02024,100,0.016639,1,1237666299485094075,0.217464,1237661971178455322,0.249437,40.4349,1221.74,1.94059,0.17343,27,20.6295,19.4485,18.2545,17.7495,17.4045,0.312,0.53,0.098,-0.058,-0.127,0.178,0.355,0.046,-0.001,-0.055,-20.2469,-21.4882,-22.3104,-22.5975,-22.8005
1237667231977112268,0.323084,0.09049,99,22.67551,-7,1237674651534819359,0.34314,1237678617415123434,0.340055,41.1396,1690.09,0.16887,0.272657,34,22.1863,22.0603,21.5683,21.5243,21.2563,-0.545,-0.133,-0.395,-0.405,-0.556,-0.393,-0.058,-0.352,-0.148,-0.408,-18.4341,-19.001,-19.1905,-19.1823,-19.0633
1237667233050001539,-9999,-9999,-9999,163.7651,-7,1237679322316145067,0.257239,1237649962989846805,0.39506,41.6532,2141.14,80.997,10.0676,8,22.1985,20.2325,18.6565,18.0675,17.6965,1.486,1.054,0.174,-0.094,-0.22,1.267,0.88,0.188,-0.049,-0.133,-17.5753,-22.9591,-17.6274,-17.5788,-18.8273
1237667244326388774,0.565745,0.052914,100,4.963212,-7,1237680075003462293,0.588369,1237678860069045335,0.573169,42.591,3297.56,3.1966,0.927799,34,21.7099,21.7219,21.3929,21.1069,21.0539,-0.939,-0.389,-0.488,-0.74,-0.676,-0.787,-0.314,-0.445,-0.483,-0.528,-20.3734,-21.0791,-20.7924,-20.2096,-21.0143
1237648704050693385,0.528312,0.039067,100,0.367068,-4,1237662618653099252,0.520625,1237655349967520339,0.507537,42.4103,3034.32,2.16179,0.544346,20,23.289,22.73,21.659,20.926,20.514,0.06,0.75,0.366,-0.061,-0.221,-0.021,0.618,0.325,0.024,-0.138,-19.4399,-19.9594,-21.0827,-21.4794,-21.7328
1237648722839405496,-9999,-9999,-9999,6.545652,-7,1237678881020183355,0.60358,1237672793423282335,0.57832,42.6492,3387.12,23.1617,1.99642,18,22.7801,22.3441,21.4561,20.7391,20.3251,-0.126,0.569,0.359,-0.064,-0.231,-0.17,0.482,0.322,0.027,-0.146,-20.2685,-19.8104,-20.3956,-21.2461,-23.0316
1237650371559818127,0.455118,0.057714,98,1.299711,4,1237679254133146194,0.4938,1237654400224723828,0.456089,42.0198,2534.85,9.29592,2.47301,17,22.6559,22.2769,21.4069,21.0189,20.6909,-0.241,0.273,-0.066,-0.237,-0.354,-0.226,0.26,-0.074,-0.1,-0.253,-21.4804,-19.3648,-20.4152,-20.8488,-21.3056
1237651250410029537,0.446621,0.196802,100,16.62722,2,1237653664184337056,0.190682,1237679253060649407,0.386272,41.9707,2478.23,23.8636,0.947637,37,23.2189,22.7039,21.7009,21.2319,20.8329,-0.059,0.449,0.089,-0.1,-0.248,-0.089,0.394,0.053,0.002,-0.167,-18.4501,-20.5141,-20.3795,-20.3673,-21.2473
1237652901831115161,0.171015,0.04966,99,0.119236,1,1237657190905217611,0.16291,1237678596460250374,0.173181,39.5706,820.56,1.08931,0.119898,16,20.8107,19.7217,18.8177,18.3757,18.0877,0.11,0.248,0.034,-0.086,-0.125,0.035,0.137,0.018,-0.024,-0.041,-18.8388,-20.089,-20.8092,-21.0492,-21.4543
1237653008655646905,-9999,-9999,-9999,203.8004,-7,1237672766060363820,0.618634,1237661069777830003,0.482702,42.1733,2720.63,110.371,7.39066,8,20.8323,18.8573,17.3113,16.5363,16.1213,1.666,1.225,0.375,-0.079,-0.249,1.447,1.051,0.389,-0.034,-0.162,-20.4045,-25.2462,-18.4126,-26.2108,-25.21
